,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
1414,1414,1,26:14.8,26:49.6,0 days 00:00:34.842239,64,50000,0.008092366,0.048879904,0.9,0.036468187,1000,tiny,1,1000,1,PRUNED
1416,1416,1,27:21.5,27:48.8,0 days 00:00:27.223895,256,50000,0.001003616,0.479569616,0.995,0.306605183,0,tiny,4,20000,1000,PRUNED
1429,1429,1,34:46.7,35:16.0,0 days 00:00:29.225824,64,100000,0.002699288,0.066964791,0.98,0.000665262,1000,tiny,4,20000,1000,PRUNED
1438,1438,1,40:05.0,40:49.7,0 days 00:00:44.688050,256,50000,0.01981884,0.039073829,0.99,0.12363309,5000,medium,4,10000,1,PRUNED
1448,1448,1,46:27.2,47:00.9,0 days 00:00:33.736024,128,50000,0.010505472,0.002483578,0.98,2.03E-05,1000,medium,2,20000,1000,PRUNED
1452,1452,1,48:34.0,49:05.4,0 days 00:00:31.337050,256,50000,0.016821759,0.00197819,0.98,0.000955401,1000,small,4,1000,1000,PRUNED
1465,1465,1,56:52.5,57:37.4,0 days 00:00:44.950513,64,50000,0.002387364,0.008619072,0.995,0.408532905,1000,medium,1,1000,8,PRUNED
1487,1487,1,11:01.3,11:32.0,0 days 00:00:30.739823,128,50000,0.001395395,0.004371089,0.995,0.064181006,1000,medium,4,1000,8,PRUNED
1490,1490,1,12:37.5,13:14.8,0 days 00:00:37.343253,256,1000000,0.087275932,0.087513985,0.9,0.073057632,1000,tiny,2,1000,1,PRUNED
1494,1494,1,15:04.6,15:35.9,0 days 00:00:31.343856,512,50000,0.003269706,0.007186919,0.995,0.037277327,1000,medium,4,15000,8,PRUNED
1507,1507,1,22:57.7,23:30.2,0 days 00:00:32.446474,256,50000,0.036051487,0.270861628,0.98,0.24288271,1000,medium,4,20000,8,PRUNED
1525,1525,1,33:57.7,34:28.8,0 days 00:00:31.040197,128,100000,0.007921919,0.003131412,0.98,1.00E-05,5000,tiny,4,15000,128,PRUNED
1532,1532,1,38:17.8,38:49.0,0 days 00:00:31.165007,256,50000,0.004248063,0.005268575,0.9999,0.000351944,1000,tiny,4,20000,8,PRUNED
1545,1545,1,46:03.6,46:42.2,0 days 00:00:38.677938,128,1000000,0.001161105,0.036384967,0.98,0.055097675,1000,small,1,20000,16,PRUNED
1547,1547,1,47:18.6,47:47.9,0 days 00:00:29.273763,256,50000,0.022279638,0.024038421,0.99,0.041917798,1000,tiny,4,20000,128,PRUNED
1556,1556,1,52:41.1,53:10.7,0 days 00:00:29.612103,256,50000,0.032764129,0.003175649,0.99,0.000599342,1000,tiny,4,20000,256,PRUNED
1572,1572,1,02:07.0,02:40.2,0 days 00:00:33.153121,32,50000,0.002468145,0.002973213,0.99,1.30E-05,1000,small,4,20000,8,PRUNED
1579,1579,1,06:23.0,06:59.1,0 days 00:00:36.040897,256,10000,0.003792933,0.167146648,0.99,0.026831254,5000,tiny,1,20000,128,PRUNED
1588,1588,1,11:34.8,12:03.5,0 days 00:00:28.654366,512,10000,0.061528096,0.006397701,0.99,0.242519983,1000,tiny,4,20000,8,PRUNED
1589,1589,1,12:03.5,12:38.3,0 days 00:00:34.815955,128,50000,0.015829391,0.008614889,0.9,0.002220721,1000,medium,2,20000,1000,PRUNED
1606,1606,1,23:00.5,23:31.8,0 days 00:00:31.266450,512,10000,0.184520842,0.143439575,0.98,0.356450389,1000,medium,4,20000,128,PRUNED
1607,1607,1,23:31.8,24:18.8,0 days 00:00:47.056670,64,50000,0.003122425,0.099784386,0.9999,0.161811818,1000,medium,4,1000,1,PRUNED
1612,1612,1,26:31.5,27:04.7,0 days 00:00:33.203804,64,50000,0.056434606,0.0015439,0.99,0.082026072,1000,medium,4,20000,1000,PRUNED
1637,1637,1,42:01.5,42:34.5,0 days 00:00:32.938529,256,1000000,0.004669515,0.01512684,0.98,3.76E-05,5000,medium,4,20000,1000,PRUNED
1641,1641,1,44:23.1,44:56.8,0 days 00:00:33.616540,128,50000,0.067369112,0.002674672,0.98,0.108031354,10000,medium,8,20000,4,PRUNED
1644,1644,1,46:06.5,46:39.3,0 days 00:00:32.787629,512,10000,0.052425432,0.301164228,0.999,1.21E-05,1000,large,4,5000,1000,PRUNED
1649,1649,1,49:11.1,49:37.7,0 days 00:00:26.598039,16,50000,0.005987884,0.496108741,0.99,0.000305679,5000,tiny,4,20000,1000,PRUNED
1651,1651,1,50:14.7,50:46.2,0 days 00:00:31.490010,256,50000,0.009575543,0.077303643,0.9999,1.42E-05,10000,small,4,20000,128,PRUNED
1676,1676,1,05:34.5,06:04.3,0 days 00:00:29.784032,512,50000,0.010276412,0.001181452,0.999,8.82E-05,1000,tiny,4,20000,1000,PRUNED
1689,1689,1,13:32.5,14:00.3,0 days 00:00:27.896529,32,10000,0.023467404,0.002317108,0.9999,1.73E-05,1000,tiny,4,20000,128,PRUNED
1721,1721,1,33:21.7,33:54.5,0 days 00:00:32.863752,128,10000,0.016221064,0.007459551,0.995,0.370095365,10000,tiny,1,5000,128,PRUNED
1791,1791,1,24:40.4,25:16.3,0 days 00:00:35.869777,128,10000,0.003424678,0.06652166,0.995,0.000260488,10000,tiny,1,1,128,PRUNED
1803,1803,1,32:24.9,32:59.1,0 days 00:00:34.222802,128,10000,0.003407558,0.085418522,0.995,0.008456963,10000,tiny,1,1,128,PRUNED
1814,1814,1,40:12.2,40:46.4,0 days 00:00:34.153596,128,10000,0.013954058,0.006645935,0.995,0.086521159,10000,tiny,1,1,16,PRUNED
1822,1822,1,45:45.9,46:20.8,0 days 00:00:34.878551,128,10000,0.012051395,0.005899392,0.995,0.273420815,10000,tiny,1,1,128,PRUNED
1841,1841,1,59:06.0,59:42.6,0 days 00:00:36.596641,128,10000,0.003878093,0.103765472,0.995,0.000169988,10000,tiny,1,1,256,PRUNED
1844,1844,1,00:56.3,01:31.2,0 days 00:00:34.906546,128,10000,0.024658795,0.078087537,0.995,0.037791713,10000,tiny,1,1,128,PRUNED
1856,1856,1,10:34.4,11:11.9,0 days 00:00:37.517533,128,10000,0.003538581,0.066993438,0.995,0.86590966,10000,tiny,1,1,4,PRUNED
1882,1882,1,29:37.2,30:11.6,0 days 00:00:34.343744,16,10000,0.195683871,0.034331927,0.995,0.337447888,10000,tiny,1,5000,128,PRUNED
1913,1913,1,51:21.1,51:56.3,0 days 00:00:35.276693,128,10000,0.00152903,0.003900588,0.995,0.139623309,10000,tiny,1,1,128,PRUNED
1923,1923,1,58:13.6,58:48.8,0 days 00:00:35.210544,128,10000,0.018908766,0.062783506,0.995,0.011885439,10000,tiny,1,1,1000,PRUNED
1929,1929,1,02:32.8,03:03.6,0 days 00:00:30.852106,100,10000,0.003985764,0.034930398,0.995,0.000106136,10000,tiny,8,1,1000,PRUNED
1935,1935,1,06:51.8,07:24.3,0 days 00:00:32.551094,100,10000,0.002796712,0.041368635,0.995,0.000114169,10000,tiny,2,1,1000,PRUNED
1986,1986,1,43:22.2,44:04.9,0 days 00:00:42.674859,128,10000,0.001778713,0.040736326,0.995,0.389519256,10000,medium,1,5000,8,PRUNED
1992,1992,1,47:19.9,47:53.2,0 days 00:00:33.331075,128,10000,0.026587524,0.003120179,0.995,0.047756989,10000,tiny,2,15000,8,PRUNED
2013,2013,1,02:02.6,02:36.4,0 days 00:00:33.742473,16,10000,0.00357375,0.00404218,0.995,0.65089004,10000,tiny,1,15000,4,PRUNED
2022,2022,1,08:49.1,09:21.7,0 days 00:00:32.559397,128,10000,0.004345619,0.005138508,0.995,0.161167169,10000,tiny,2,1,4,PRUNED
