,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
502,502,404,06:59.8,08:49.4,0 days 00:01:49.593053,tanh,256,0.3,3.90E-08,0.99,0.99,2.79E-05,0.8,20,2048,medium,TRUE,0.000657839,PRUNED
402,402,402,48:50.6,55:40.8,0 days 00:06:50.208452,relu,128,0.2,3.99E-07,0.99,0.99,3.29E-05,0.9,20,2048,medium,TRUE,0.000507061,COMPLETE
419,419,402,19:46.8,22:16.2,0 days 00:02:29.440517,tanh,128,0.3,7.99E-06,0.99,0.99,3.65E-05,0.9,20,2048,small,TRUE,5.37E-06,PRUNED
421,421,400,30:44.9,37:13.8,0 days 00:06:28.860086,relu,128,0.2,4.18E-08,0.99,0.99,1.56E-05,0.5,20,2048,medium,TRUE,3.28E-05,COMPLETE
508,508,398,43:59.2,45:46.4,0 days 00:01:47.207053,tanh,256,0.3,0.000290487,0.99,0.99,2.42E-05,0.8,20,2048,medium,TRUE,0.000241792,PRUNED
410,410,394,51:46.0,55:28.0,0 days 00:03:41.979129,tanh,128,0.3,1.26E-07,0.99,0.99,1.97E-05,0.7,20,2048,medium,TRUE,6.45E-06,PRUNED
432,432,392,39:18.0,43:16.2,0 days 00:03:58.187105,tanh,128,0.3,3.00E-07,0.99,0.99,2.50E-05,0.5,20,2048,medium,TRUE,1.29E-05,PRUNED
585,585,390,35:40.5,43:08.0,0 days 00:07:27.529135,relu,32,0.3,4.77E-08,0.9,0.99,1.57E-05,0.3,20,2048,medium,TRUE,7.58E-07,PRUNED
353,353,389,58:01.9,27:44.1,0 days 00:29:42.176144,relu,8,0.3,8.78E-07,0.99,0.99,2.10E-05,0.6,20,2048,medium,TRUE,3.97E-07,PRUNED
573,573,387,46:19.2,50:18.7,0 days 00:03:59.468292,relu,256,0.3,5.86E-07,0.99,0.995,8.66E-05,0.7,20,1024,medium,TRUE,2.25E-06,COMPLETE
303,303,386,50:36.1,48:27.3,0 days 00:57:51.196094,tanh,8,0.3,2.50E-05,0.99,0.999,2.09E-05,0.9,20,2048,medium,TRUE,6.55E-05,COMPLETE
320,320,385,22:23.3,24:26.1,0 days 00:02:02.880886,relu,8,0.1,3.72E-06,0.99,0.98,3.64E-05,0.5,1,512,medium,TRUE,3.01E-05,PRUNED
614,614,385,11:09.6,14:34.7,0 days 00:03:25.143581,tanh,128,0.3,0.000495842,0.99,0.99,1.83E-05,0.3,20,2048,medium,TRUE,0.000364468,PRUNED
