,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
1128,1128,46,18:29.4,19:19.6,0 days 00:00:50.162408,64,100000,0.020145171,0.259540654,0.95,0.001153207,5000,large,2,15000,1,PRUNED
1379,1379,46,13:25.0,14:04.5,0 days 00:00:39.572788,16,100000,0.005570296,0.05236732,0.95,0.001780847,10000,small,1,20000,128,PRUNED
1633,1633,46,50:14.4,51:02.7,0 days 00:00:48.220401,64,100000,0.005384682,0.022697818,0.995,0.00187772,10000,medium,1,1000,8,PRUNED
1648,1648,46,03:13.7,04:03.9,0 days 00:00:50.231575,512,10000,0.001446514,0.206756307,0.995,0.000190164,5000,small,1,20000,256,PRUNED
1741,1741,46,23:21.5,24:23.0,0 days 00:01:01.477776,64,10000,0.00442208,0.033922667,0.999,0.001509708,5000,large,1,20000,1,PRUNED
2037,2037,46,25:45.3,26:34.0,0 days 00:00:48.742630,64,10000,0.069346796,0.001654985,0.9,0.001333078,0,small,1,1,128,PRUNED
2078,2078,46,59:50.3,00:30.2,0 days 00:00:39.869115,100,10000,0.015746423,0.006980961,0.999,0.001336541,5000,small,2,15000,256,PRUNED
2114,2114,46,30:40.5,31:17.0,0 days 00:00:36.424853,512,100000,0.001658746,0.005662436,0.99,0.001668634,5000,tiny,2,15000,128,PRUNED
2128,2128,46,41:12.1,42:00.9,0 days 00:00:48.743297,100,10000,0.014561536,0.001520535,0.99,0.00110408,5000,small,2,20000,1,PRUNED
2155,2155,46,03:18.4,04:12.6,0 days 00:00:54.209276,100,100000,0.002007086,0.002477142,0.9,4.87E-05,5000,large,1,10000,256,PRUNED
2385,2385,46,02:10.9,02:58.8,0 days 00:00:47.834630,64,1000000,0.029498183,0.001559958,0.99,0.001854024,5000,medium,2,1000,1,PRUNED
2780,2780,46,58:36.1,59:28.2,0 days 00:00:52.061675,64,100000,0.037522299,0.0036674,0.98,0.000250918,1000,large,1,10000,256,PRUNED
3174,3174,46,26:07.3,27:09.5,0 days 00:01:02.224952,64,100000,0.056154654,0.011978507,0.98,0.001444847,10000,large,8,15000,128,COMPLETE
3690,3690,46,36:08.6,36:44.1,0 days 00:00:35.493597,100,100000,0.011991348,0.023759019,0.995,0.007116575,10000,tiny,2,10000,256,PRUNED
335,335,45,34:16.5,35:22.2,0 days 00:01:05.667871,64,50000,0.018037248,0.480336842,0.995,0.002395624,5000,small,1,15000,256,COMPLETE
744,744,45,35:16.3,35:56.4,0 days 00:00:40.106459,64,10000,0.003879355,0.024021849,0.9999,0.000474117,10000,small,1,15000,256,PRUNED
