,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_lr,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_vf_coef,state
95,95,50.0,2023-04-27 00:54:35.528898,2023-04-27 00:55:46.478365,0 days 00:01:10.949467,relu,2.6355317951104377e-06,0.995,0.99,1.918128324610502e-05,0.31984408579994533,32,small,False,True,0.1179281623191192,PRUNED
96,96,1.0,2023-04-27 00:55:46.479366,2023-04-27 00:56:33.972142,0 days 00:00:47.492776,tanh,1.8186639703340232e-06,0.99,0.999,1.3783164459370503e-05,0.382729863784225,64,small,True,False,0.1285562515665173,PRUNED
97,97,29.0,2023-04-27 00:56:33.974143,2023-04-27 00:57:28.563480,0 days 00:00:54.589337,relu,8.433240004615257e-06,0.9999,0.995,1.7541412682116663e-05,0.34462743262978884,128,large,False,True,0.16517645457599736,PRUNED
98,98,1.0,2023-04-27 00:57:28.564479,2023-04-27 00:58:14.802008,0 days 00:00:46.237529,tanh,5.797365591566059e-06,0.95,0.999,1.2073405764441826e-05,0.48711951101733236,1024,small,True,False,0.138008008855126,PRUNED
99,99,6.0,2023-04-27 00:58:14.803014,2023-04-27 00:59:05.814607,0 days 00:00:51.011593,tanh,3.960043822795683e-06,0.98,0.98,3.101754630976519e-05,0.5226763145707877,64,large,False,True,0.15678327857962374,PRUNED
100,100,1.0,2023-04-27 00:59:05.815609,2023-04-27 00:59:55.196279,0 days 00:00:49.380670,relu,1.1947557877642373e-05,0.9999,0.9999,1.5175618459074532e-05,0.4295777405031378,256,large,True,False,0.11527526800395929,PRUNED
101,101,57.0,2023-04-27 00:59:55.198281,2023-04-27 01:01:18.763595,0 days 00:01:23.565314,tanh,2.9612857266693873e-06,0.999,0.9,2.0987677905322742e-05,0.378607594875415,64,large,True,False,0.10401104263130731,COMPLETE
102,102,1.0,2023-04-27 01:01:18.764595,2023-04-27 01:02:10.454989,0 days 00:00:51.690394,tanh,3.462973687615043e-06,0.999,0.9,1.1553856773824609e-05,0.3700990743008927,64,large,True,False,0.10081288255685637,PRUNED
103,103,0.0,2023-04-27 01:02:10.456987,2023-04-27 01:03:06.125046,0 days 00:00:55.668059,tanh,1.3029870043527561e-06,0.999,0.9,2.3921655436898376e-05,0.34002935394541467,64,large,True,False,0.10819940723066067,PRUNED
104,104,1.0,2023-04-27 01:03:06.126046,2023-04-27 01:03:57.009206,0 days 00:00:50.883160,tanh,1.9387121419355196e-06,0.999,0.9,1.7383025498675287e-05,0.31261743078904763,64,large,True,False,0.1234150634804419,PRUNED
